GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1430006065           SUSTITUTO DE SAL S/SODIO 6 X 65 G                                      MONTE CUDINE                                                  7730177003148      6 N     20150520T1102  A      
7730962840019 1450030012           TOMILLO 30 X 12G                                                       MONTE CUDINE                                                  7730177000352     30 N     20150520T1102  A      
7730962840019 1460001000           VAINILLA 1 LT                                                          MONTE CUDINE                                                  7730177000604      1 N     20150520T1102  A      
7730962840019 1460006250           VAINILLA 6 X 250 CC                                                    MONTE CUDINE                                                  7730177000383      6 N     20150520T1102  A      
7730962840019 1460012020           VAINILLA 12 X 20 CC                                                    MONTE CUDINE                                                       77310248     12 N     20150520T1102  A      
7730962840019 1460012060           VAINILLA 12 X 60 CC                                                    MONTE CUDINE                                                  7730177000369     12 N     20150520T1102  A      
7730962840019 1460012120           VAINILLA 12 X 120 CC                                                   MONTE CUDINE                                                  7730177000376     12 N     20150520T1102  A      
7730962840019 1467001000           VAINILLA LA ROSA 1 LT                                                  LA ROSA                                                       7730177002493      1 N     20150520T1102  A      
7730962840019 1480120015           ALBAHACA 20X15G                                                        MONTE CUDINE                                                  7730177004312     20 N     20150520T1102  A      
7730962840019 1500112200           ARROZ ESPAÑOLA 12 X 200 G                                              MONTE CUDINE                                                  7730177003766     12 N     20150520T1102  A      
7730962840019 1500212200           ARROZ PRIMAVERA 12 X 200 G                                             MONTE CUDINE                                                  7730177003759     12 N     20150520T1102  A      
7730962840019 1500312200           ARROZ C/HONGOS 12 X 200 G                                              MONTE CUDINE                                                  7730177003780     12 N     20150520T1102  A      
7730962840019 1500512190           ARROZ C/QUESOS 12 X 190 G                                              MONTE CUDINE                                                  7730177003803     12 N     20150520T1102  A      
7730962840019 1500612200           ARROZ PAELLA 12 X 200 G                                                MONTE CUDINE                                                  7730177003797     12 N     20150520T1102  A      
7730962840019 1500712200           ARROZ C/ESPARRAGOS 12 X 200 G                                          MONTE CUDINE                                                  7730177003773     12 N     20150520T1102  A      
7730962840019 1504112215           ARROZ ESPAÑOLA LEADER PRICE 12 X 215 G                                 LEADER PRICE                                                  7791109049504     12 N     20150520T1102  A      
7730962840019 1504212215           ARROZ PRIMAVERA LEADER PRICE 12 X 215 G                                LEADER PRICE                                                  7791109049498     12 N     20150520T1102  A      
7730962840019 1510018060           SALSA BLANCA 18X60G                                                    MONTE CUDINE                                                  7730177000734     18 N     20150520T1102  A      
